id,city_id,name,pob_total,pob_mas,pob_fem
396,Coquimatlan,El Poblado,281,152,129
397,Coquimatlan,La Sidra,230,111,119
398,Coquimatlan,Crucero de Quizalapa,14,*,*
399,Coquimatlan,Piedras Gordas,2,*,*
400,Coquimatlan,Nahualapa,5,*,*
401,Coquimatlan,El Cerano,7,*,*
402,Coquimatlan,El Barrio,10,*,*
403,Coquimatlan,Don Antonio (De Bayardo),1,*,*
404,Coquimatlan,El Copal,1,*,*
405,Coquimatlan,Santa Martha,1,*,*
406,Coquimatlan,Buenos Aires,1,*,*
407,Coquimatlan,Jayamitas,3,*,*
408,Coquimatlan,El Guayabo (Jesus Morentin),2,*,*
409,Coquimatlan,La Majada,4,*,*
410,Coquimatlan,El Indio,2,*,*
411,Coquimatlan,El Pitayo (Casa de Piedra),4,*,*
412,Coquimatlan,Los Chorritos [Granja],3,*,*
413,Coquimatlan,El Capricho,3,*,*
414,Coquimatlan,Santa Catalina,6,*,*
415,Coquimatlan,Los Guayabillos,6,*,*
416,Coquimatlan,La Fundicion,3,*,*
417,Coquimatlan,Ninguno,6,*,*
418,Coquimatlan,El Capiro,5,*,*
419,Coquimatlan,El Chico,2,*,*
420,Coquimatlan,Chuy Vaca,1,*,*
421,Coquimatlan,La Huertita,3,*,*
422,Coquimatlan,San Jose,3,*,*
423,Coquimatlan,Los Chatos,3,*,*
424,Coquimatlan,Bugambilias [Vivero],9,*,*
425,Coquimatlan,Mundo Verde [Vivero],2,*,*
426,Coquimatlan,Los Amiales,1,*,*
427,Coquimatlan,Las Moras,1,*,*
428,Coquimatlan,La Cana,2,*,*
429,Coquimatlan,Agrofertilizantes de Colima,4,*,*
430,Coquimatlan,Camichines (Esperanza Mendez),4,*,*
431,Coquimatlan,Casa Morada,2,*,*
432,Coquimatlan,Colonia los Limones,89,47,42
433,Coquimatlan,Corrales los Limones,5,*,*
434,Coquimatlan,Felipe Maria,6,*,*
435,Coquimatlan,Felipe Michel,1,*,*
436,Coquimatlan,El Jacalito,4,*,*
437,Coquimatlan,Quizalapa (Jesus Montes de Oca),6,*,*
438,Coquimatlan,Jose Luis Duran,1,*,*
439,Coquimatlan,Lupe Rangel,7,*,*
440,Coquimatlan,Miguel Gonzalez,6,*,*
441,Coquimatlan,Las Bugambilias,4,*,*
442,Coquimatlan,Los Valle,1,*,*
443,Coquimatlan,La Guadalupana,3,*,*
444,Coquimatlan,La Chiminila,2,*,*
445,Coquimatlan,El Palapo,5,*,*
446,Coquimatlan,El Charro Uno,6,*,*
447,Coquimatlan,San Martin,3,*,*
448,Coquimatlan,Rancho Ganadero,3,*,*
449,Coquimatlan,San Isidro [Bloquera],6,*,*
450,Coquimatlan,Las Tarjas Viejas,12,6,6
451,Coquimatlan,San Jesus,2,*,*
455,Cuauhtemoc,Cuauhtemoc,8602,4228,4374
456,Cuauhtemoc,El Aguinaldo [Granja],5,*,*
457,Cuauhtemoc,Alcaraces,1829,914,915
458,Cuauhtemoc,Alzada,533,273,260
459,Cuauhtemoc,Buenavista,994,488,506
460,Cuauhtemoc,Cerro Colorado,172,91,81
461,Cuauhtemoc,El Cobano,218,110,108
462,Cuauhtemoc,Chiapa,882,442,440
463,Cuauhtemoc,Montitlan,173,97,76
464,Cuauhtemoc,Ocotillo,571,282,289
465,Cuauhtemoc,La Palma,4,*,*
466,Cuauhtemoc,Palmillas,791,395,396
467,Cuauhtemoc,El Parian,83,44,39
468,Cuauhtemoc,Queseria,8611,4311,4300
469,Cuauhtemoc,San Joaquin,492,245,247
470,Cuauhtemoc,El Trapiche,2851,1391,1460
471,Cuauhtemoc,Hacienda Vieja,5,*,*
472,Cuauhtemoc,La Limonera,1,*,*
473,Cuauhtemoc,El Seminario,40,*,*
474,Cuauhtemoc,Bajio de la Leona,42,23,19
475,Cuauhtemoc,Copalito,6,*,*
476,Cuauhtemoc,Los Aguacates,6,*,*
477,Cuauhtemoc,Santa Teresita,5,*,*
478,Cuauhtemoc,Base Reyna,4,0,4
479,Cuauhtemoc,Cuatro Vientos,2,*,*
480,Cuauhtemoc,Efren Vizcaino,5,*,*
481,Cuauhtemoc,Gabriel de la Mora,5,*,*
482,Cuauhtemoc,El Gallero,2,*,*
483,Cuauhtemoc,Rancho Grande,9,*,*
484,Cuauhtemoc,El Monasterio,3,*,*
485,Cuauhtemoc,Ninguno,2,*,*
486,Cuauhtemoc,Rancho Blanco,2,*,*
487,Cuauhtemoc,Residencial Camino Real,14,8,6
488,Cuauhtemoc,Calle Naranjo Numero Doce,5,*,*
